nome_pc,cpu_modelo,cpu_temp,cpu_uso,cpu_energia,ram_uso,ram_utilizada,ram_livre,
GUSNAWEB,Intel Core i5-8350U,88.0,10.7,21.7,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,76.0,13.4,21.7,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,87.0,12.2,15.2,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,86.0,13.1,15.1,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,85.0,12.9,15.1,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,88.0,15.7,16.5,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,84.0,13.8,16.5,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,83.0,10.8,14.9,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,87.0,11.4,14.4,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,84.0,11.1,14.9,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,86.0,13.7,14.0,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,85.0,14.1,15.5,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,79.0,11.5,15.8,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,82.0,11.4,13.9,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,85.0,11.7,13.8,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,84.0,10.7,13.1,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,85.0,12.4,15.6,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,82.0,12.5,15.5,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,82.0,12.5,15.8,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,85.0,13.6,15.3,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,80.0,18.5,17.7,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,83.0,18.3,17.6,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,83.0,12.0,17.7,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,83.0,11.6,17.7,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,77.0,13.0,18.6,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,76.0,17.3,21.0,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,83.0,16.0,18.6,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,84.0,10.3,15.7,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,84.0,11.2,13.8,90.8,7.1,0.7,
